No.,SMILES,HDAC6 activity,Applicability domain (AD),"Experimental value, pIC50",Standard deviation,Chemble ID
1,CC1OCC2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SCC12,Inactive,Inside AD,-,-,-
2,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,Inactive,Inside AD,-,-,-
3,CC(=O)Oc1cc(C)cc2c1C1=C(CCC(C)C1)C(C)(C)O2,unreliable prediction,Outside AD,-,-,-
4,OC(C1CO1)C(O)C1CO1,unreliable prediction,Outside AD,-,-,-
5,CC(=O)Nc1cc2cccnc2c2ncccc12,Active,Inside AD,-,-,-
6,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,Inactive,Inside AD,-,-,-
7,CC1(C)CCC(C)(C)c2cc(C(O)C(=O)Nc3ccc(C(=O)O)cc3F)ccc21,unreliable prediction,Outside AD,-,-,-
8,CC1(C)CCC(C)(C)c2cc(C(O)C(=O)Nc3ccc(C(=O)O)cc3F)ccc21,unreliable prediction,Outside AD,-,-,-
9,NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)c(F)c2F)cc1,unreliable prediction,Outside AD,-,-,-
10,CC1(C)SCCN(S(=O)(=O)c2ccc(OCC#CCN)cc2)C1C(=O)NO,unreliable prediction,Outside AD,-,-,-
11,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,unreliable prediction,Outside AD,-,-,-
12,CC[N+](C)(C)Cc1ccccc1Br,unreliable prediction,Outside AD,-,-,-
13,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,unreliable prediction,Outside AD,-,-,-
14,Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4OC(n5cnc6c(=O)nc(N)[nH]c65)C(O)C4O)C(O)C3O)c2[nH]1,Inactive,Inside AD,-,-,-
15,COc1ccc(C2CNC(=O)C(Cc3cccc(C)c3)C2)cc1OC1CCCC1,unreliable prediction,Outside AD,-,-,-
16,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,unreliable prediction,Outside AD,-,-,-
17,CCOc1cc(CC2SC(=S)N(CC(=O)O)C2=O)c(Br)c(Br)c1O,unreliable prediction,Outside AD,-,-,-
18,Cc1[nH]c2ccccc2c1CCNC(=O)c1cccs1,Inactive,Inside AD,-,-,-
19,COC(C)Cn1c(=O)n(C)c2cnc3ccc(-c4cncc(C(C)(C)O)c4)cc3c21,Inactive,Inside AD,-,-,-
20,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,unreliable prediction,Outside AD,-,-,-
21,CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)C=Cc2ccc(Cl)s2)C1=O,unreliable prediction,Outside AD,-,-,-
22,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1,Inactive,Inside AD,-,-,-
23,COC1CCC(C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)CC1,unreliable prediction,Outside AD,-,-,-
24,[H]N=C(N)NCCN1CCCCCCC1,unreliable prediction,Outside AD,-,-,-
